Site4,Date,Source,Max Temp,Min Temp,Avg Temp,HDDs,CDDs,Precipitation Water Equiv,Snowfall,Snow-Ice Depth
KROC,05-04-11,NCDC,49,39,44,21,0,1.00E-04,0,0
KROC,05-05-11,NCDC,59,41,50,15,0,1.00E-04,0,0
KROC,05-06-11,NCDC,66,40,53,12,0,0,0,0
KROC,05-07-11,NCDC,62,46,54,11,0,1.00E-04,0,0
KROC,05-08-11,NCDC,60,44,52,13,0,0,0,0
KROC,05-09-11,NCDC,62,41,51.5,13.5,0,0,0,0
KROC,05-10-11,NCDC,62,40,51,14,0,0,0,0
KROC,05-11-11,NCDC,68,42,55,10,0,0,0,0
KROC,05-12-11,NCDC,79,48,63.5,1.5,0,0,0,0
KROC,5-13-11,NCDC,81,58,69.5,0,4.5,0.61,0,0
KROC,5-14-11,NCDC,68,50,59,6,0,0.09,0,0
KROC,5-15-11,NCDC,51,43,47,18,0,1.07,0,0
KROC,5-16-11,NCDC,47,42,44.5,20.5,0,0.15,0,0
KROC,5-17-11,NCDC,50,42,46,19,0,0.08,0,0
KROC,5-18-11,NCDC,73,49,61,4,0,0.05,0,0
KROC,5-19-11,NCDC,69,54,61.5,3.5,0,0.09,0,0
KROC,5-20-11,NCDC,71,55,63,2,0,0.08,0,0
KROC,5-21-11,NCDC,76,54,65,0,0,0.13,0,0
KROC,5-22-11,NCDC,73,57,65,0,0,1.00E-04,0,0
KROC,5-23-11,NCDC,80,63,71.5,0,6.5,0.14,0,0
KROC,5-24-11,NCDC,73,53,63,2,0,1.00E-04,0,0
KROC,5-25-11,NCDC,68,51,59.5,5.5,0,0.16,0,0
KROC,5-26-11,NCDC,79,61,70,0,5,0.08,0,0
KROC,5-27-11,NCDC,64,51,57.5,7.5,0,0.96,0,0
KROC,5-28-11,NCDC,79,51,65,0,0,1.00E-04,0,0
KROC,5-29-11,NCDC,86,60,73,0,8,0.28,0,0
KROC,5-30-11,NCDC,81,64,72.5,0,7.5,1.00E-04,0,0
KROC,5-31-11,NCDC,91,63,77,0,12,0,0,0
KROC,06-01-11,NCDC,82,56,69,0,4,0,0,0
KROC,06-02-11,NCDC,66,52,59,6,0,0,0,0
KROC,06-03-11,NCDC,71,45,58,7,0,0,0,0
KROC,06-04-11,NCDC,66,55,60.5,4.5,0,0.18,0,0
KROC,06-05-11,NCDC,76,57,66.5,0,1.5,0,0,0
KROC,06-06-11,NCDC,80,56,68,0,3,0,0,0
KROC,06-07-11,NCDC,83,59,71,0,6,1.00E-04,0,0
KROC,06-08-11,NCDC,91,68,79.5,0,14.5,1.00E-04,0,0
KROC,06-09-11,NCDC,85,62,73.5,0,8.5,1.00E-04,0,0
KROC,06-10-11,NCDC,69,59,64,1,0,1.00E-04,0,0
KROC,06-11-11,NCDC,78,60,69,0,4,1.00E-04,0,0
KROC,06-12-11,NCDC,69,54,61.5,3.5,0,0.02,0,0
KROC,6-13-11,NCDC,71,55,63,2,0,0.01,0,0
KROC,6-14-11,NCDC,65,51,58,7,0,0.02,0,0
KROC,6-15-11,NCDC,83,48,65.5,0,0.5,0,0,0
KROC,6-16-11,NCDC,82,55,68.5,0,3.5,0.02,0,0
KROC,6-17-11,NCDC,76,61,68.5,0,3.5,0,0,0
KROC,6-18-11,NCDC,81,59,70,0,5,0,0,0
KROC,6-19-11,NCDC,73,56,64.5,0.5,0,0,0,0
KROC,6-20-11,NCDC,79,52,65.5,0,0.5,0,0,0
KROC,6-21-11,NCDC,82,59,70.5,0,5.5,1.00E-04,0,0
KROC,6-22-11,NCDC,80,63,71.5,0,6.5,0.94,0,0
KROC,6-23-11,NCDC,83,67,75,0,10,0.16,0,0
KROC,6-24-11,NCDC,75,64,69.5,0,4.5,0.07,0,0
KROC,6-25-11,NCDC,70,62,66,0,1,0.03,0,0
KROC,6-26-11,NCDC,72,59,65.5,0,0.5,1.00E-04,0,0
KROC,6-27-11,NCDC,81,58,69.5,0,4.5,0,0,0
KROC,6-28-11,NCDC,82,68,75,0,10,1.00E-04,0,0
KROC,6-29-11,NCDC,71,59,65,0,0,0,0,0
KROC,6-30-11,NCDC,77,54,65.5,0,0.5,0,0,0
KROC,07-01-11,NCDC,81,51,66,0,1,0,0,0
KROC,07-02-11,NCDC,87,56,71.5,0,6.5,0,0,0
KROC,07-03-11,NCDC,86,67,76.5,0,11.5,0,0,0
KROC,07-04-11,NCDC,84,59,71.5,0,6.5,0,0,0
KROC,07-05-11,NCDC,86,56,71,0,6,0,0,0
KROC,07-06-11,NCDC,87,66,76.5,0,11.5,0.05,0,0
KROC,07-07-11,NCDC,80,62,71,0,6,0,0,0
KROC,07-08-11,NCDC,82,60,71,0,6,0,0,0
KROC,07-09-11,NCDC,80,59,69.5,0,4.5,0,0,0
KROC,07-10-11,NCDC,89,60,74.5,0,9.5,0,0,0
KROC,07-11-11,NCDC,94,68,81,0,16,1.00E-04,0,0
KROC,07-12-11,NCDC,89,71,80,0,15,0,0,0
KROC,7-13-11,NCDC,80,62,71,0,6,1.00E-04,0,0
KROC,7-14-11,NCDC,81,55,68,0,3,0,0,0
KROC,7-15-11,NCDC,84,53,68.5,0,3.5,0,0,0
KROC,7-16-11,NCDC,90,58,74,0,9,0,0,0
KROC,7-17-11,NCDC,92,64,78,0,13,0,0,0
KROC,7-18-11,NCDC,89,71,80,0,15,0.32,0,0
KROC,7-19-11,NCDC,84,68,76,0,11,0,0,0
KROC,7-20-11,NCDC,94,66,80,0,15,0,0,0
KROC,7-21-11,NCDC,98,74,86,0,21,0,0,0
KROC,7-22-11,NCDC,94,71,82.5,0,17.5,0,0,0
KROC,7-23-11,NCDC,92,72,82,0,17,0.13,0,0
KROC,7-24-11,NCDC,84,69,76.5,0,11.5,0.03,0,0
KROC,7-25-11,NCDC,83,65,74,0,9,0.03,0,0
KROC,7-26-11,NCDC,82,60,71,0,6,0,0,0
KROC,7-27-11,NCDC,82,61,71.5,0,6.5,0,0,0
KROC,7-28-11,NCDC,75,66,70.5,0,5.5,0.01,0,0
KROC,7-29-11,NCDC,83,69,76,0,11,1.13,0,0
KROC,7-30-11,NCDC,86,63,74.5,0,9.5,0,0,0
KROC,7-31-11,NCDC,84,63,73.5,0,8.5,0.11,0,0
KROC,08-01-11,NCDC,88,64,76,0,11,0,0,0
KROC,08-02-11,NCDC,86,59,72.5,0,7.5,0,0,0
KROC,08-03-11,NCDC,71,67,69,0,4,0.25,0,0
KROC,08-04-11,NCDC,80,64,72,0,7,0,0,0
KROC,08-05-11,NCDC,84,61,72.5,0,7.5,0,0,0
KROC,08-06-11,NCDC,81,69,75,0,10,1.00E-04,0,0
KROC,08-07-11,NCDC,83,68,75.5,0,10.5,0.3,0,0
KROC,08-08-11,NCDC,80,66,73,0,8,1.00E-04,0,0
KROC,08-09-11,NCDC,72,63,67.5,0,2.5,0.93,0,0
KROC,08-10-11,NCDC,80,57,68.5,0,3.5,0.31,0,0
KROC,08-11-11,NCDC,75,54,64.5,0.5,0,0,0,0
KROC,08-12-11,NCDC,81,54,67.5,0,2.5,1.00E-04,0,0
KROC,8-13-11,NCDC,84,60,72,0,7,0.54,0,0
KROC,8-14-11,NCDC,76,63,69.5,0,4.5,1.21,0,0
KROC,8-15-11,NCDC,73,65,69,0,4,1.00E-04,0,0
KROC,8-16-11,NCDC,81,65,73,0,8,0,0,0
KROC,8-17-11,NCDC,83,60,71.5,0,6.5,1.00E-04,0,0
KROC,8-18-11,NCDC,83,61,72,0,7,0,0,0
KROC,8-19-11,NCDC,83,62,72.5,0,7.5,0,0,0
KROC,8-20-11,NCDC,86,62,74,0,9,0,0,0
KROC,8-21-11,NCDC,75,58,66.5,0,1.5,1.22,0,0
KROC,8-22-11,NCDC,71,55,63,2,0,0.03,0,0
KROC,8-23-11,NCDC,78,53,65.5,0,0.5,0,0,0
KROC,8-24-11,NCDC,80,60,70,0,5,0.01,0,0
KROC,8-25-11,NCDC,80,65,72.5,0,7.5,0.81,0,0
KROC,8-26-11,NCDC,76,62,69,0,4,0,0,0
KROC,8-27-11,NCDC,78,58,68,0,3,0,0,0
KROC,8-28-11,NCDC,70,52,61,4,0,0,0,0
KROC,8-29-11,NCDC,74,49,61.5,3.5,0,0,0,0
KROC,8-30-11,NCDC,79,54,66.5,0,1.5,0,0,0
KROC,8-31-11,NCDC,79,58,68.5,0,3.5,0,0,0
KROC,09-01-11,NCDC,82,65,73.5,0,8.5,0.07,0,0
KROC,09-02-11,NCDC,86,67,76.5,0,11.5,1.00E-04,0,0
KROC,09-03-11,NCDC,89,70,79.5,0,14.5,0,0,0
KROC,09-04-11,NCDC,82,67,74.5,0,9.5,0.77,0,0
KROC,09-05-11,NCDC,67,58,62.5,2.5,0,0.38,0,0
KROC,09-06-11,NCDC,64,57,60.5,4.5,0,1.00E-04,0,0
KROC,09-07-11,NCDC,64,59,61.5,3.5,0,0.11,0,0
KROC,09-08-11,NCDC,70,60,65,0,0,0,0,0
KROC,09-09-11,NCDC,75,58,66.5,0,1.5,0,0,0
KROC,09-10-11,NCDC,73,54,63.5,1.5,0,0,0,0
KROC,09-11-11,NCDC,72,50,61,4,0,0.01,0,0
KROC,09-12-11,NCDC,78,57,67.5,0,2.5,0,0,0
KROC,9-13-11,NCDC,83,62,72.5,0,7.5,1.00E-04,0,0
KROC,9-14-11,NCDC,71,52,61.5,3.5,0,0.02,0,0
KROC,9-15-11,NCDC,59,44,51.5,13.5,0,0.35,0,0
KROC,9-16-11,NCDC,60,45,52.5,12.5,0,0.03,0,0
KROC,9-17-11,NCDC,62,44,53,12,0,0,0,0
KROC,9-18-11,NCDC,66,41,53.5,11.5,0,0,0,0
KROC,9-19-11,NCDC,69,44,56.5,8.5,0,0.08,0,0
KROC,9-20-11,NCDC,71,52,61.5,3.5,0,0.22,0,0
KROC,9-21-11,NCDC,79,51,65,0,0,0,0,0
KROC,9-22-11,NCDC,76,58,67,0,2,0.02,0,0
KROC,9-23-11,NCDC,74,57,65.5,0,0.5,0.05,0,0
KROC,9-24-11,NCDC,71,56,63.5,1.5,0,1.00E-04,0,0
KROC,9-25-11,NCDC,79,56,67.5,0,2.5,0,0,0
KROC,9-26-11,NCDC,81,60,70.5,0,5.5,0,0,0
KROC,9-27-11,NCDC,75,62,68.5,0,3.5,1.00E-04,0,0
KROC,9-28-11,NCDC,70,61,65.5,0,0.5,1.44,0,0
KROC,9-29-11,NCDC,67,57,62,3,0,0.2,0,0
KROC,9-30-11,NCDC,66,52,59,6,0,0.01,0,0
KROC,10-01-11,NCDC,54,43,48.5,16.5,0,0.43,0,0
KROC,10-02-11,NCDC,54,44,49,16,0,0.38,0,0
KROC,10-03-11,NCDC,61,51,56,9,0,0.33,0,0
KROC,10-04-11,NCDC,63,50,56.5,8.5,0,0.02,0,0
KROC,10-05-11,NCDC,63,42,52.5,12.5,0,0,0,0
KROC,10-06-11,NCDC,65,37,51,14,0,0,0,0
KROC,10-07-11,NCDC,72,41,56.5,8.5,0,0,0,0
KROC,10-08-11,NCDC,80,50,65,0,0,0,0,0
KROC,10-09-11,NCDC,81,51,66,0,1,0,0,0
KROC,10-10-11,NCDC,79,50,64.5,0.5,0,0,0,0
KROC,10-11-11,NCDC,76,50,63,2,0,0,0,0
KROC,10-12-11,NCDC,65,54,59.5,5.5,0,0.56,0,0
KROC,10-13-11,NCDC,69,54,61.5,3.5,0,0.01,0,0
KROC,10-14-11,NCDC,67,50,58.5,6.5,0,0.4,0,0
KROC,10-15-11,NCDC,53,45,49,16,0,0.2,0,0
KROC,10-16-11,NCDC,58,48,53,12,0,0.16,0,0
KROC,10-17-11,NCDC,57,40,48.5,16.5,0,0,0,0
KROC,10-18-11,NCDC,61,42,51.5,13.5,0,1.00E-04,0,0
KROC,10-19-11,NCDC,60,49,54.5,10.5,0,0.99,0,0
KROC,10-20-11,NCDC,55,45,50,15,0,0.47,0,0
KROC,10-21-11,NCDC,52,45,48.5,16.5,0,0.13,0,0
KROC,10-22-11,NCDC,52,45,48.5,16.5,0,0,0,0
KROC,10-23-11,NCDC,58,38,48,17,0,0,0,0
KROC,10-24-11,NCDC,58,43,50.5,14.5,0,0.1,1.00E-03,0
KROC,10-25-11,NCDC,57,39,48,17,0,0.32,0,0
KROC,10-26-11,NCDC,49,43,46,19,0,0.6,0,0
KROC,10-27-11,NCDC,43,31,37,28,0,0.1,1.00E-03,0
KROC,10-28-11,NCDC,48,28,38,27,0,0,0,0
KROC,10-29-11,NCDC,43,33,38,27,0,1.00E-04,1.00E-03,0
KROC,10-30-11,NCDC,51,28,39.5,25.5,0,0,0,0
KROC,10-31-11,NCDC,51,31,41,24,0,0,0,0
KROC,11-01-11,NCDC,56,35,45.5,19.5,0,0,0,0
KROC,11-02-11,NCDC,65,36,50.5,14.5,0,0,0,0
KROC,11-03-11,NCDC,59,44,51.5,13.5,0,1.00E-04,0,0
KROC,11-04-11,NCDC,48,34,41,24,0,0,0,0
KROC,11-05-11,NCDC,50,26,38,27,0,0,0,0
KROC,11-06-11,NCDC,61,27,44,21,0,0,0,0
KROC,11-07-11,NCDC,64,45,54.5,10.5,0,0,0,0
KROC,11-08-11,NCDC,68,42,55,10,0,1.00E-04,0,0
KROC,11-09-11,NCDC,69,42,55.5,9.5,0,1.00E-04,0,0
KROC,11-10-11,NCDC,58,37,47.5,17.5,0,1.00E-04,0,0
KROC,11-11-11,NCDC,43,30,36.5,28.5,0,0.04,1.00E-03,0
KROC,11-12-11,NCDC,56,36,46,19,0,0,0,0
KROC,11-13-11,NCDC,63,48,55.5,9.5,0,0,0,0
KROC,11-14-11,NCDC,65,50,57.5,7.5,0,0.37,0,0
KROC,11-15-11,NCDC,56,42,49,16,0,0,0,0
KROC,11-16-11,NCDC,56,38,47,18,0,1.00E-04,0,0
KROC,11-17-11,NCDC,41,30,35.5,29.5,0,0.03,0.3,0
KROC,11-18-11,NCDC,42,30,36,29,0,0,0,0
KROC,11-19-11,NCDC,55,40,47.5,17.5,0,1.00E-04,0,0
KROC,11-20-11,NCDC,62,39,50.5,14.5,0,1.00E-04,0,0
KROC,11-21-11,NCDC,41,28,34.5,30.5,0,0.01,1.00E-03,0
KROC,11-22-11,NCDC,37,24,30.5,34.5,0,0.92,0,0
KROC,11-23-11,NCDC,41,30,35.5,29.5,0,0.68,0,0
KROC,11-24-11,NCDC,51,28,39.5,25.5,0,0,0,0
KROC,11-25-11,NCDC,62,37,49.5,15.5,0,0,0,0
KROC,11-26-11,NCDC,56,42,49,16,0,0,0,0
KROC,11-27-11,NCDC,64,51,57.5,7.5,0,0.02,0,0
KROC,11-28-11,NCDC,57,42,49.5,15.5,0,0.12,0,
KROC,11-29-11,NCDC,53,43,48,17,0,0.22,0,
KROC,11-30-11,NCDC,46,30,38,27,0,0.05,,
KROC,12-01-11,NCDC,47,29,38,27,0,0,0,0
KROC,12-02-11,NCDC,38,27,32.5,32.5,0,0.07,1.00E-03,0
KROC,12-03-11,NCDC,45,25,35,30,0,0,0,0
KROC,12-04-11,NCDC,60,39,49.5,15.5,0,1.00E-04,0,0
KROC,12-05-11,NCDC,52,43,47.5,17.5,0,0.44,0,0
KROC,12-06-11,NCDC,43,37,40,25,0,0.24,0,0
KROC,12-07-11,NCDC,37,32,34.5,30.5,0,0.01,1.00E-03,0
KROC,12-08-11,NCDC,40,30,35,30,0,1.00E-04,1.00E-03,0
KROC,12-09-11,NCDC,41,30,35.5,29.5,0,0.06,1.8,0.01
KROC,12-10-11,NCDC,30,19,24.5,40.5,0,1.00E-04,1.00E-03,0
KROC,12-11-11,NCDC,39,20,29.5,35.5,0,0,0,0
KROC,12-12-11,NCDC,43,23,33,32,0,0,0,0
KROC,12-13-11,NCDC,46,24,35,30,0,0,0,0
KROC,12-14-11,NCDC,48,31,39.5,25.5,0,1.00E-04,0,0
KROC,12-15-11,NCDC,56,41,48.5,16.5,0,0.42,0,0
KROC,12-16-11,NCDC,42,34,38,27,0,0.05,1.00E-03,0
KROC,12-17-11,NCDC,34,19,26.5,38.5,0,0.01,0.4,0.01
KROC,12-18-11,NCDC,34,16,25,40,0,0,0,0
KROC,12-19-11,NCDC,48,33,40.5,24.5,0,1.00E-04,0,0
KROC,12-20-11,NCDC,38,28,33,32,0,0,0,0
KROC,12-21-11,NCDC,54,35,44.5,20.5,0,0.3,0,0
KROC,12-22-11,NCDC,45,38,41.5,23.5,0,0.19,0,0
KROC,12-23-11,NCDC,38,23,30.5,34.5,0,0.14,1.00E-03,0
KROC,12-24-11,NCDC,29,20,24.5,40.5,0,1.00E-04,0.1,0
KROC,12-25-11,NCDC,47,26,36.5,28.5,0,0.02,1.00E-03,0
KROC,12-26-11,NCDC,38,30,34,31,0,1.00E-04,1.00E-03,0
KROC,12-27-11,NCDC,39,31,35,30,0,0.36,1.00E-03,0
KROC,12-28-11,NCDC,35,17,26,39,0,0.1,1.8,0.01
KROC,12-29-11,NCDC,29,10,19.5,45.5,0,0.04,0.8,1
KROC,12-30-11,NCDC,47,29,38,27,0,0.03,1.00E-03,1
KROC,12-31-11,NCDC,46,38,42,23,0,1.00E-04,0,0
KROC,01-01-12,NCDC,51,33,42,23,0,0.06,1.00E-03,0
KROC,01-02-12,NCDC,35,19,27,38,0,0.03,1.4,0.01
KROC,01-03-12,NCDC,19,4,11.5,53.5,0,0.06,0.6,1
KROC,01-04-12,NCDC,30,3,16.5,48.5,0,1.00E-04,1.00E-03,1
KROC,01-05-12,NCDC,34,29,31.5,33.5,0,1.00E-04,1.00E-03,0.01
KROC,01-06-12,NCDC,53,32,42.5,22.5,0,0,0,0.01
KROC,01-07-12,NCDC,49,36,42.5,22.5,0,0,0,0
KROC,01-08-12,NCDC,36,22,29,36,0,0.01,0.1,0
KROC,01-09-12,NCDC,43,25,34,31,0,0,0,0
KROC,01-10-12,NCDC,42,34,38,27,0,0,0,0
KROC,01-11-12,NCDC,49,25,37,28,0,0.06,0,0
KROC,01-12-12,NCDC,44,36,40,25,0,0.59,0,0
KROC,1-13-12,NCDC,43,20,31.5,33.5,0,0.56,5.5,1
KROC,1-14-12,NCDC,23,8,15.5,49.5,0,0.02,1.9,6
KROC,1-15-12,NCDC,17,2,9.5,55.5,0,1.00E-04,0.1,6
KROC,1-16-12,NCDC,40,2,21,44,0,0.24,0,4
KROC,1-17-12,NCDC,51,32,41.5,23.5,0,0.4,1.00E-03,1
KROC,1-18-12,NCDC,32,17,24.5,40.5,0,0.01,0.2,0.01
KROC,1-19-12,NCDC,30,15,22.5,42.5,0,0.07,1.2,0
KROC,1-20-12,NCDC,21,13,17,48,0,0.03,0.3,1
KROC,1-21-12,NCDC,27,17,22,43,0,0.11,1.5,2
